vol_kind,vol_win,trend_win,target,sharpe,cagr,maxdd,vol,calmar,n
close,10,100,0.15,0.6623917206253476,0.10893693069936883,-0.37556319865052623,0.17651303343472355,0.29006284718737363,6939
close,21,300,0.1,0.6615967087474274,0.07422102899277339,-0.19024161668879014,0.11620477690355409,0.39014086551939403,6939
parkinson,42,150,0.1,0.6613699971452974,0.07019003786251865,-0.2434673805281059,0.10953476824280724,0.2882933956502477,6939
parkinson,42,200,0.1,0.6612441755856071,0.06879735559316091,-0.1883965684609472,0.10725055374955386,0.365173082265678,6939
close,21,250,0.2,0.6598666074088508,0.12913288108462462,-0.3465561062112591,0.21572738474946646,0.3726175322558183,6939
parkinson,10,250,0.15,0.6598120976930989,0.10094454200669123,-0.31371316332228627,0.16293700073747366,0.3217733707367201,6939
close,42,100,0.2,0.6594810730341009,0.11962658399197634,-0.3539632952846339,0.19755230117927863,0.3379632453014106,6939
close,21,200,0.1,0.6586414024271686,0.07307730468591256,-0.21952486580714503,0.11491531814426538,0.33288850635313344,6939
parkinson,21,300,0.15,0.6585110882502246,0.09842804513433556,-0.2697637541469958,0.15883967086911618,0.3648675688309911,6939
parkinson,63,250,0.15,0.6577402919172742,0.0946490429062774,-0.29398138234242455,0.15236761808809718,0.32195590806506175,6939
parkinson,21,150,0.15,0.655786410549941,0.09865985971198676,-0.3272983361087165,0.1601377767134993,0.30143709523538664,6939
close,63,100,0.2,0.6556977694712898,0.11447564891604212,-0.3540669190647493,0.18937629951097984,0.32331642057502585,6939
parkinson,10,100,0.2,0.6554261605139031,0.12560407099520132,-0.4462115402883694,0.21092413976307858,0.28148996530665304,6939
close,21,150,0.1,0.6543477323832789,0.07381589132518895,-0.25418883430008266,0.11708676274103269,0.290397851378655,6939
parkinson,42,300,0.1,0.6537849383930576,0.06897922007019375,-0.18839656846094754,0.10902283532899809,0.36613841023591864,6939
close,42,250,0.2,0.6537643649217266,0.12174984899512453,-0.33479092065631866,0.20416726779891536,0.36365935120477016,6939
parkinson,10,200,0.1,0.6536415829506729,0.07150327985736893,-0.21751663443256775,0.11331273838463271,0.3287255710070102,6939
close,10,250,0.1,0.6534323086916837,0.07786928807531934,-0.25176302807223894,0.12422685443037623,0.3092959624436044,6939
parkinson,10,250,0.2,0.6511086361790294,0.12538163096454946,-0.40254412758866354,0.21256004391292457,0.3114730097185014,6939
parkinson,21,200,0.2,0.6501445243005426,0.12124730180529464,-0.3428905643496808,0.20481509215060295,0.35360349455882456,6939
close,63,250,0.15,0.6501099092049331,0.09350361122892403,-0.28825330054876586,0.15264413829250104,0.3243800194166567,6939
parkinson,10,150,0.1,0.6501085648224172,0.07261876475526385,-0.2612784444727857,0.1159675336281295,0.27793630240640727,6939
close,42,200,0.1,0.6491228055331283,0.06814953784896116,-0.20686823017018097,0.10855645784317013,0.3294345284092085,6939
parkinson,63,150,0.1,0.6483855397493071,0.06792097838474409,-0.23991819925177194,0.10831863790474343,0.28310056759582175,6939
close,42,300,0.1,0.6462570838179799,0.06884647108204511,-0.1840523559991324,0.11032656951787391,0.37405916761190305,6939
parkinson,21,300,0.2,0.6462027115605069,0.12184198486127151,-0.3482668149062771,0.20783211023688816,0.34985241098569986,6939
parkinson,63,250,0.2,0.6455384484766675,0.1173047803476166,-0.374709624535854,0.19918086077788646,0.3130551570243756,6939
parkinson,42,150,0.15,0.6438406714192627,0.09483207950291317,-0.3130878857764895,0.15703439248115433,0.30289284194985716,6939
